Brian De Palma,107 min,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,"<a href=""http://http://www.imdb.com/title/tt0082085/"">Blow Out</a>",Blow Out,1981,Brian De Palma,https://images-na.ssl-images-amazon.com/images/M/MV5BMDFiMGMyY2UtNjM5ZC00MmE2LTg5ODctODA2MGUxZTg2NDQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Mystery, Thriller",tt0082085,"John Travolta, Nancy Allen, John Lithgow, Dennis Franz",R
,,,,,,,,,,,
David Lynch (screenplay),120 min,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.","<a href=""http://http://www.imdb.com/title/tt0090756/"">Blue Velvet</a>",Blue Velvet,1986,David Lynch,https://images-na.ssl-images-amazon.com/images/M/MV5BNGNhYWY4M2ItZTFjOC00YmRiLTk4YTUtOGIxNjNjOGU2MTA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Drama, Mystery, Thriller",tt0090756,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern",R
,,,,,,,,,,,
John Derek,105 min,A 1920s English heiress seeks ecstasy with a sheik in Morocco and a bullfighter in Spain.,"<a href=""http://http://www.imdb.com/title/tt0086987/"">Bolero</a>",Bolero,1984,John Derek,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiNTlhYjMtYjA3NC00NjQ2LWFhZDUtYzAyZTJkNDZhNTI1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"Comedy, Drama, Romance",tt0086987,"Bo Derek, George Kennedy, Andrea Occhipinti, Ana Obregón",R
,,,,,,,,,,,
Michael Moore,120 min,Filmmaker Michael Moore explores the roots of America's predilection for gun violence.,"<a href=""http://http://www.imdb.com/title/tt0310793/"">Bowling for Columbine</a>",Bowling for Columbine,2002,Michael Moore,https://images-na.ssl-images-amazon.com/images/M/MV5BNDA0MjUxNDI1N15BMl5BanBnXkFtZTYwOTEzMDg5._V1_SX300.jpg,"Documentary, Crime, Drama",tt0310793,"Michael Moore, Salvador Allende, Jacobo Arbenz, Mike Bradley",R
,,,,,,,,,,,
Adele Buffington,80 min,"In order to avoid the hangman's noose, a cowboy agrees to marry a beautiful but fiery redhead.","<a href=""http://http://www.imdb.com/title/tt0051438/"">Bullwhip</a>",Bullwhip,1958,Harmon Jones,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTUwNDA4NV5BMl5BanBnXkFtZTcwODY3Njg3MQ@@._V1_SX300.jpg,"Crime, Romance, Western",tt0051438,"Guy Madison, Rhonda Fleming, James Griffith, Don Beddoe",APPROVED
,,,,,,,,,,,
"Robert Marasco (novel), William F. Nolan (screenplay), Dan Curtis (screenplay)",116 min,"A family moves into an old, haunted house that regenerates itself by feeding off of the life forces of its injured occupants.","<a href=""http://http://www.imdb.com/title/tt0074258/"">Burnt Offerings</a>",Burnt Offerings,1976,Dan Curtis,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNzYzNTc3Nl5BMl5BanBnXkFtZTgwMDUwNTkyMTE@._V1_SX300.jpg,"Horror, Mystery, Thriller",tt0074258,"Karen Black, Oliver Reed, Burgess Meredith, Eileen Heckart",PG
,,,,,,,,,,,
Ho Leung Lau,N/A,"The lives of two men--a cop and a criminal--are questioned in the wake of a deadly epidemic in a futuristic, post-apocalyptic Hong Kong.","<a href=""http://http://www.imdb.com/title/tt1288398/"">Chaos</a>",Chaos,2008,Herman Yau,https://images-na.ssl-images-amazon.com/images/M/MV5BODY4ZDJkODktYTNhNy00Nzk3LWEyYWYtYzg2NzY0YjhjNTdiXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,"Action, Thriller",tt1288398,"Ka Tung Lam, Kristal Tin, Andrew Lin, Charmaine Fong",N/A
,,,,,,,,,,,
Salvador Novo,N/A,N/A,"<a href=""http://http://www.imdb.com/title/tt3570324/"">The City of Gods</a>",The City of Gods,1968,N/A,N/A,Documentary,tt3570324,"Bettye Ackerman, Beatriz Aguirre, Víctor Alcocer, Héctor Andremar",N/A
,,,,,,,,,,,
Jay Cocks,125 min,"Inspecting a magical biographical stage musical, composer Cole Porter reviews his life and career with his wife, Linda.","<a href=""http://http://www.imdb.com/title/tt0352277/"">De-Lovely</a>",De-Lovely,2004,Irwin Winkler,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyODgwODIyNF5BMl5BanBnXkFtZTcwMTkzMTczMw@@._V1_SX300.jpg,"Biography, Drama, Music",tt0352277,"Kevin Kline, Ashley Judd, Jonathan Pryce, Kevin McNally",PG-13
,,,,,,,,,,,
"Joseph Hayes (novel), Joseph Hayes (play), Lawrence Konner (screenplay), Mark Rosenthal (screenplay), Joseph Hayes (screenplay)",105 min,An escaped con on the run from the law moves into a married couple's home and takes over their lives.,"<a href=""http://http://www.imdb.com/title/tt0099409/"">Desperate Hours</a>",Desperate Hours,1990,Michael Cimino,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MzkwNjY1Ml5BMl5BanBnXkFtZTcwOTQ4NTMzNA@@._V1_SX300.jpg,"Action, Crime, Drama",tt0099409,"Mickey Rourke, Anthony Hopkins, Mimi Rogers, Lindsay Crouse",R
,,,,,,,,,,,
Tim Tori (screenplay),91 min,"In St. Jude, drug dealers and corrupt cops have destroyed an urban neighborhood. But newcomer, Hong, has the fighting skills and moral vision to save this town from itself.","<a href=""http://http://www.imdb.com/title/tt1735862/"">Dragon Eyes</a>",Dragon Eyes,2012,John Hyams,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2Njk1Nzc1NF5BMl5BanBnXkFtZTcwNjc0NDQ4Nw@@._V1_SX300.jpg,"Action, Crime, Drama",tt1735862,"Cung Le, Jean-Claude Van Damme, Johnny Holmes, Peter Weller",R
,,,,,,,,,,,
N/A,80 min,"A wealthy man sends his young son away to learn Kung Fu from the drunken master. When he returns he gets involved in a fight between a local thug, who employs various fighters to do away ...","<a href=""http://http://www.imdb.com/title/tt2226383/"">Drunken Arts and Crippled Fist</a>",Drunken Arts and Crippled Fist,1979,Ti Tang,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NzE5OTgzMl5BMl5BanBnXkFtZTgwNzQ5NjE3ODE@._V1_SX300.jpg,"Action, Comedy",tt2226383,"Siu Tin Yuen, Yi-Min Li, Tien Hsiang Lung, Lieh Lo",N/A
,,,,,,,,,,,
Jonathan W. Stokes (screenplay),99 min,"A man crossing into Mexico with a satchel of $2,000,000, and a bloody past, finds himself under sudden attack in the sleepy town of El Fronteras.","<a href=""http://http://www.imdb.com/title/tt1990216/"">El Gringo</a>",El Gringo,2012,Eduardo Rodriguez,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MDQ1MjczOV5BMl5BanBnXkFtZTcwNzYzOTQ4Nw@@._V1_SX300.jpg,"Action, Drama",tt1990216,"Scott Adkins, Petar Bachvarov, Zachary Baharov, Mimoza Bazova",R
,,,,,,,,,,,
Artis Chow,91 min,"Tamo the founder of Buddhism in China travels from India seeking a disciple and he finds one in the son a village doctor, but he doesn't want to be a disciple.","<a href=""http://http://www.imdb.com/title/tt0201087/"">Fighting of Shaolin Monks</a>",Fighting of Shaolin Monks,1976,Fu-Ti Lin,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3MjI1MDk4Ml5BMl5BanBnXkFtZTcwMDcyMDUyMQ@@._V1_SX300.jpg,"Action, Drama",tt0201087,"Sing Chen, Ling Chia, Chiang-Lung Wen, Chin Hai Chen",N/A
,,,,,,,,,,,
"Travis Walton (book), Tracy Tormé (screenplay)",109 min,An Arizona logger mysteriously disappears for five days in an alleged encounter with a flying saucer in 1975.,"<a href=""http://http://www.imdb.com/title/tt0106912/"">Fire in the Sky</a>",Fire in the Sky,1993,Robert Lieberman,https://images-na.ssl-images-amazon.com/images/M/MV5BNjI1Yjk3NWUtOGU1My00NjA0LWEwNDQtOTNlMWFmYzE5NzljXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"Biography, Drama, Fantasy",tt0106912,"D.B. Sweeney, Robert Patrick, Craig Sheffer, Peter Berg",PG-13
,,,,,,,,,,,
Preston A. Whitmore II,98 min,Two prisoners chained together flee during an escape attempt gone bad.,"<a href=""http://http://www.imdb.com/title/tt0116320/"">Fled</a>",Fled,1996,Kevin Hooks,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjY0NjM4N15BMl5BanBnXkFtZTcwOTg3NjczNA@@._V1_SX300.jpg,"Action, Adventure, Crime",tt0116320,"Laurence Fishburne, Stephen Baldwin, Will Patton, Robert John Burke",R
,,,,,,,,,,,
"Ben Affleck (screenplay), Aaron Stockard (screenplay), Dennis Lehane (novel)",114 min,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.","<a href=""http://http://www.imdb.com/title/tt0452623/"">Gone Baby Gone</a>",Gone Baby Gone,2007,Ben Affleck,https://images-na.ssl-images-amazon.com/images/M/MV5BNDFlMzhjZDQtNmRiYi00YTgxLTllNDktOWM5YTk1ZGE5MmY3L2ltYWdlXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,"Crime, Drama, Mystery",tt0452623,"Casey Affleck, Michelle Monaghan, Morgan Freeman, Ed Harris",R
,,,,,,,,,,,
"Joe Gores (novel), Dennis O'Flaherty, Thomas Pope (adaptation), Ross Thomas",97 min,"Fictional account of real-life mystery writer Dashiell Hammett, and his involvement in the investigation of a beautiful Chinese cabaret actress' mysterious disappearance in San Francisco.","<a href=""http://http://www.imdb.com/title/tt0085640/"">Hammett</a>",Hammett,1982,Wim Wenders,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzk1NzU5Ml5BMl5BanBnXkFtZTcwODM4MjEzMQ@@._V1_SX300.jpg,"Crime, Drama, Mystery",tt0085640,"Frederic Forrest, Peter Boyle, Marilu Henner, Roy Kinnear",PG
,,,,,,,,,,,
Lionel Chetwynd,125 min,"A drama focusing on the suffering, torture, and brutal treatment the American P.O.W.s had to deal with daily while in North Vietnam's Hoa Lo Prison, the most infamous P.O.W. camp in Hanoi. ...","<a href=""http://http://www.imdb.com/title/tt0093143/"">The Hanoi Hilton</a>",The Hanoi Hilton,1987,Lionel Chetwynd,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzOTc5NDgwMl5BMl5BanBnXkFtZTcwNTAxNjcxMQ@@._V1_SX300.jpg,"Drama, War",tt0093143,"Michael Moriarty, John Edwin Shaw, Ken Wright, Paul Le Mat",R
,,,,,,,,,,,
"Robert Dunn, Paul Guay, Stephen Mazur",123 min,A mother and daughter con team seduce and scam wealthy men.,"<a href=""http://http://www.imdb.com/title/tt0125022/"">Heartbreakers</a>",Heartbreakers,2001,David Mirkin,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjE3NjQzOF5BMl5BanBnXkFtZTcwMDIwOTA0NA@@._V1_SX300.jpg,"Comedy, Crime, Romance",tt0125022,"Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee",PG-13
,,,,,,,,,,,
Mike Cram,85 min,"A rags-to-riches story of two friends, a small-time inventor and a sharky salesman, who hit rock bottom before coming up with a gizmo that becomes a worldwide phenomenon.","<a href=""http://http://www.imdb.com/title/tt0991174/"">Ingenious</a>",Ingenious,2009,Jeff Balsmeyer,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3NTMwOTM3Ml5BMl5BanBnXkFtZTgwNTg3ODUwMDE@._V1_SX300.jpg,"Comedy, Drama, Romance",tt0991174,"Dallas Roberts, Jeremy Renner, Ayelet Zurer, Marguerite Moreau",R
,,,,,,,,,,,
Lu Tung,90 min,"Hwang Jang Lee is a corrupt Ming guard who frames John Liu for murder. A wanted fugitive, John hides out with a teen who is an expert in the infamous Iron Armor technique, a technique that ...","<a href=""http://http://www.imdb.com/title/tt0076939/"">The Invincible Armour</a>",The Invincible Armour,1977,See-Yuen Ng,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3Njk2NzM1NV5BMl5BanBnXkFtZTcwOTAyOTQyMQ@@._V1_SX300.jpg,"Action, Drama",tt0076939,"John Liu, Jang Lee Hwang, Chiang Wang, Hsin Hsing Kuo",N/A
,,,,,,,,,,,
"Gypsy Rose Lee (novel), James Gunn (screenplay)",91 min,"After one member of their group is murdered, the performers at a burlesque house must work together to find out who the killer is before they strike again.","<a href=""http://http://www.imdb.com/title/tt0036094/"">Lady of Burlesque</a>",Lady of Burlesque,1943,William A. Wellman,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzM4NzM2MTkyN15BMl5BanBnXkFtZTcwNTA2ODU0NQ@@._V1._CR46,40,263,407_SX89_AL_.jpg_V1_SX300.jpg","Comedy, Music, Mystery",tt0036094,"Barbara Stanwyck, Michael O'Shea, J. Edward Bromberg, Iris Adrian",N/A
,,,,,,,,,,,
Robert Russell,80 min,A woman writes a best-selling book for women warning them about the &quot;dangers&quot; of men. A handsome photographer for a national magazine arrives in her town to do a feature story on her. Complications ensue.,"<a href=""http://http://www.imdb.com/title/tt0043721/"">The Lady Says No</a>",The Lady Says No,1951,Frank Ross,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NTY2MzQzNV5BMl5BanBnXkFtZTcwMjU2NzQyMQ@@._V1_SX300.jpg,Comedy,tt0043721,"Joan Caulfield, David Niven, James Robertson Justice, Lenore Lonergan",N/A
,,,,,,,,,,,
Scott Frank,99 min,"Dede is a sole parent trying to bring up her son Fred. When it is discovered that Fred is a genius, she is determined to ensure that Fred has all the opportunities that he needs, and that ...","<a href=""http://http://www.imdb.com/title/tt0102316/"">Little Man Tate</a>",Little Man Tate,1991,Jodie Foster,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMDYxODA3N15BMl5BanBnXkFtZTcwOTQ2NDk0NA@@._V1_SX300.jpg,Drama,tt0102316,"Jodie Foster, Alex Lee, Adam Hann-Byrd, Michael Shulman",PG
,,,,,,,,,,,
"Jean Arlette (play), F. McGrew Willis (adaptation), F. McGrew Willis (scenario)",55 min,"A cross-dressing farce, adapted from &quot;Madame Lucy&quot; by Jean Arlette, in which to help a friend in a lawsuit, Jack Mitchell disguises himself as the mysterious &quot;Madame Brown,&quot; a missing ...","<a href=""http://http://www.imdb.com/title/tt0016064/"">Madame Behave</a>",Madame Behave,1925,Scott Sidney,http://ia.media-imdb.com/images/M/MV5BOTg1OTU2MTAxMV5BMl5BanBnXkFtZTgwNjQ2NDAyODE@._V1_SX300.jpg,"Comedy, Romance",tt0016064,"Julian Eltinge, Ann Pennington, Lionel Belmore, David James",PASSED
,,,,,,,,,,,
Paul Thomas Anderson,188 min,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.","<a href=""http://http://www.imdb.com/title/tt0175880/"">Magnolia</a>",Magnolia,1999,Paul Thomas Anderson,https://images-na.ssl-images-amazon.com/images/M/MV5BZmFhMzE1NDUtNGFmOC00M2E2LWI3ODItNzJjZmRlMTY0NDc0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Drama,tt0175880,"Pat Healy, Genevieve Zweig, Mark Flannagan, Neil Flynn",R
,,,,,,,,,,,
"Frederic Dannay (story,  'The Chinese Orange Mystery'), Manfred Lee (story,  'The Chinese Orange Mystery'), John Francis Larkin (screenplay), Rex Taylor (screenplay), Gertrude Orr (screenplay), Cortland Fitzsimmons (screenplay)",66 min,"Two murders are committed and a $50,000 Chinese Mandarin stamp is stolen, tossed around and eventually recovered as an aggregation of costly-stamp counterfeiters are uncovered through the mastermind investigation by Ellery Queen.","<a href=""http://http://www.imdb.com/title/tt0029207/"">The Mandarin Mystery</a>",The Mandarin Mystery,1936,Ralph Staub,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MTY3MTk0NF5BMl5BanBnXkFtZTcwNzk4MjE5Mw@@._V1_SX300.jpg,"Comedy, Crime, Mystery",tt0029207,"Eddie Quillan, Charlotte Henry, Rita La Roy, Wade Boteler",APPROVED
,,,,,,,,,,,
Hildegarde Stadie (story),57 min,A young girl slowly becomes a dope pusher.,"<a href=""http://http://www.imdb.com/title/tt0026683/"">Marihuana</a>",Marihuana,1936,Dwain Esper,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzODIxMjg0MV5BMl5BanBnXkFtZTgwMTM1OTg5MTE@._V1_SX300.jpg,"Crime, Drama",tt0026683,"Harley Wood, Hugh McArthur, Pat Carlyle, Paul Ellis",NOT RATED
,,,,,,,,,,,
"Lewis John Carlino (screenplay), Lewis John Carlino (story)",100 min,An aging hitman befriends a young man who wants to be a professional killer. Eventually it becomes clear that someone has betrayed them.,"<a href=""http://http://www.imdb.com/title/tt0068931/"">The Mechanic</a>",The Mechanic,1972,Michael Winner,https://images-na.ssl-images-amazon.com/images/M/MV5BMzAxNzE2MjQ3Ml5BMl5BanBnXkFtZTcwNTY3ODE1NA@@._V1_SX300.jpg,"Action, Crime, Thriller",tt0068931,"Charles Bronson, Jan-Michael Vincent, Keenan Wynn, Jill Ireland",PG
,,,,,,,,,,,
"Ladye Horton (screenplay), Elliott Lester (play), Eve Unsell (adaptation)",66 min,The son and daughter of an abusive shopkeeper turn to a medicine show salesman for help.,"<a href=""http://http://www.imdb.com/title/tt0021134/"">The Medicine Man</a>",The Medicine Man,1930,Scott Pembroke,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NjMyMzgxMl5BMl5BanBnXkFtZTcwOTMyNTgyMQ@@._V1_SX300.jpg,"Comedy, Romance",tt0021134,"Jack Benny, Betty Bronson, E. Alyn Warren, Eva Novak",N/A
,,,,,,,,,,,
"Jerome Chodorov, Lester Koenig, William Wyler",45 min,"Documentary about the 25th and last bombing mission of a B17, the &quot;Memphis Belle&quot;. The &quot;Memphis Belle&quot; took part in a great bombing raid on sub-pens in Wilhelmshafen, Germany. On their way ...","<a href=""http://http://www.imdb.com/title/tt0036152/"">The Memphis Belle: A Story of a Flying Fortress</a>",The Memphis Belle: A Story of a Flying Fortress,1944,William Wyler,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTM5Nzc3ODleQTJeQWpwZ15BbWU3MDk4MzM1NTE@._V1_SX300.jpg,"Documentary, History, War",tt0036152,"Stanley Wray, Robert Morgan, James A. Verinis, Robert J. Hanson",N/A
,,,,,,,,,,,
"Zoltán Fábri, László Nádasy, Imre Sarkadi (novel)",90 min,In a rural scenery in the throes of difficult changes lives a humble but promising young farmer girl called Mari Pataki...,"<a href=""http://http://www.imdb.com/title/tt0048275/"">Merry-Go-Round</a>",Merry-Go-Round,1956,Zoltán Fábri,http://ia.media-imdb.com/images/M/MV5BMjAwNDU2MjAzMV5BMl5BanBnXkFtZTcwNTcyNzkzMg@@._V1_SX300.jpg,"Romance, Drama",tt0048275,"Mari Töröcsik, Imre Soós, Ádám Szirtes, Béla Barsi",N/A
,,,,,,,,,,,
Frank H. Young (original story & screenplay),65 min,"The gang is befriended by a millionaire whom they save from a mugging. However, they begin to suspect that the man's son was actually one of the muggers. Knowing that the boy's father is ...","<a href=""http://http://www.imdb.com/title/tt0037074/"">Million Dollar Kid</a>",Million Dollar Kid,1944,Wallace Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BYmI4YjY0ZDUtZjBhOC00NWZmLWI1MDktOGEwNjAzZmE3ZDFhXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,Comedy,tt0037074,"Leo Gorcey, Huntz Hall, Gabriel Dell, William 'Billy' Benedict",APPROVED
,,,,,,,,,,,
Steve Teamkin,90 min,"Holly Winters (Tori Spelling) is an unhappy-in-love, prosecuting attorney. After suffering a serious head injury, she gains the psychic power to read minds and decides to use this new-found power to catch a killer...","<a href=""http://http://www.imdb.com/title/tt0484444/"">Mind Over Murder</a>",Mind Over Murder,2005,Christopher Leitch,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1OTI4NjA0N15BMl5BanBnXkFtZTcwNjEwMDIzMQ@@._V1_SX300.jpg,"Fantasy, Sci-Fi, Thriller",tt0484444,"Tori Spelling, Dean McDermott, Brett Watson, Jasson Finney",N/A
,,,,,,,,,,,
"Eugene Conrad (screenplay), Edward E. Seabrook (screenplay)",45 min,Mrs. Minerva Snodgrass heads up the town's Purity League and is so good at imposing restrictions of keeping the girls and boys apart that there hasn't been a marriage in the town in over ...,"<a href=""http://http://www.imdb.com/title/tt0033912/"">Miss Polly</a>",Miss Polly,1941,Fred Guiol,http://ia.media-imdb.com/images/M/MV5BMjIxNDk0OTc2NV5BMl5BanBnXkFtZTgwNDQ2NDAyODE@._V1_SX300.jpg,Comedy,tt0033912,"Zasu Pitts, Slim Summerville, Kathleen Howard, Brenda Forbes",APPROVED
,,,,,,,,,,,
Ken Kennedy,116 min,"A true account of the legendary &quot;Padre on Horseback&quot;, Father Eusebio Francisco Kino a Jesuit missionary who helped the lives of the Native Americans. He faced many challenges on his trips throughout California, Arizona and Mexico","<a href=""http://http://www.imdb.com/title/tt0079567/"">Mission to Glory: A True Story</a>",Mission to Glory: A True Story,1977,Ken Kennedy,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQzMjAzNzc4M15BMl5BanBnXkFtZTgwNTYzODk1MDE@._V1_SX300.jpg,Western,tt0079567,"Richard Egan, Ricardo Montalban, John Ireland, Joseph Campanella",PG
,,,,,,,,,,,
"Robert Ellis (story), Robert Ellis (adaptation)",57 min,People in an old dark house on a stormy night are menaced by a killer ape.,"<a href=""http://http://www.imdb.com/title/tt0023236/"">The Monster Walks</a>",The Monster Walks,1932,Frank R. Strayer,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNDI5MzUwNV5BMl5BanBnXkFtZTgwNjkyMjkyMjE@._V1_SX300.jpg,Horror,tt0023236,"Rex Lease, Vera Reynolds, Sheldon Lewis, Mischa Auer",PASSED
,,,,,,,,,,,
"James Ashmore Creelman (screen play), Richard Connell (from the O'Henry prize winning story by)",63 min,An insane hunter arranges for a ship to be wrecked on an island where he can indulge in some sort of hunting and killing of the passengers.,"<a href=""http://http://www.imdb.com/title/tt0023238/"">The Most Dangerous Game</a>",The Most Dangerous Game,1932,"Irving Pichel, Ernest B. Schoedsack",https://images-na.ssl-images-amazon.com/images/M/MV5BNzU4MjYxMjI1N15BMl5BanBnXkFtZTgwNjk1NTAwMjE@._V1_SX300.jpg,"Adventure, Horror, Mystery",tt0023238,"Joel McCrea, Fay Wray, Robert Armstrong, Leslie Banks",NOT RATED
,,,,,,,,,,,
John Hughes,91 min,"After he's laid off, a husband switches roles with his wife. She returns to the workforce and he becomes a stay-at-home dad - a job he has no clue how to do.","<a href=""http://http://www.imdb.com/title/tt0085970/"">Mr. Mom</a>",Mr. Mom,1983,Stan Dragoti,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMzg0MTkwNV5BMl5BanBnXkFtZTgwOTA2NzEyMDE@._V1_SX300.jpg,"Comedy, Drama",tt0085970,"Michael Keaton, Teri Garr, Frederick Koehler, Taliesin Jaffe",PG
,,,,,,,,,,,
"Anamika Roy Choudhary, Saarthak Juneja, Shiladitya Moulik, Deepak Nagar",96 min,"There is a woman who gets married, her husband buys a scooter on the same day, and later, he abandons both. The story is woven around the parallel lives of the scooter and the woman, who go through the same situation.","<a href=""http://http://www.imdb.com/title/tt4453214/"">Mrs. Scooter</a>",Mrs. Scooter,2015,Shiladitya Moulik,https://images-na.ssl-images-amazon.com/images/M/MV5BNWI2NmQ4NDEtZjRlOS00ZTc1LWI1NmUtODViY2RhMTc2YWFkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,Drama,tt4453214,"Satyakam Anand, Himanshu Kohli, Anjali Patil, Madhu Kandhari Rajesh",N/A
,,,,,,,,,,,
"Scott Darling (story), Frank R. Strayer (story), Scott Darling (dialogue)",69 min,Murder sparks the search for the killer.,"<a href=""http://http://www.imdb.com/title/tt0022172/"">Murder at Midnight</a>",Murder at Midnight,1931,Frank R. Strayer,https://images-na.ssl-images-amazon.com/images/M/MV5BNjIyODk4MTI1Nl5BMl5BanBnXkFtZTcwMTE0NzI0NQ@@._V1_SX300.jpg,"Crime, Mystery",tt0022172,"Aileen Pringle, Alice White, Hale Hamilton, Robert Elliott",UNRATED
,,,,,,,,,,,
